"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Dim.1","Dim.2","Dim.3","Dim.4"
"1",5.1,3.5,1.4,0.2,"setosa",-2.26470280880759,0.480026596520989,-0.127706022300155,-0.0241682038554754
"2",4.9,3,1.4,0.2,"setosa",-2.08096115196577,-0.674133556605354,-0.234608853984571,-0.103006774771624
"3",4.7,3.2,1.3,0.2,"setosa",-2.3642290538903,-0.341908023884677,0.0442014848387451,-0.0283770534384002
"4",4.6,3.1,1.5,0.2,"setosa",-2.29938421704271,-0.597394507674677,0.0912901063206811,0.0659555595763301
"5",5,3.6,1.4,0.2,"setosa",-2.38984216631384,0.646835382902026,0.015738195676257,0.0359228132929269
"6",5.4,3.9,1.7,0.4,"setosa",-2.07563094817651,1.48917752332117,0.0269682944397797,-0.00660818021916525
"7",4.6,3.4,1.4,0.3,"setosa",-2.44402883513415,0.0476441976300133,0.335470401143112,0.0367755571929222
"8",5,3.4,1.5,0.2,"setosa",-2.23284715887201,0.223148072689591,-0.0886954979477279,0.0246120961956668
"9",4.4,2.9,1.4,0.2,"setosa",-2.33464047790762,-1.11532767546167,0.145076863636999,0.0268592207878666
"10",4.9,3.1,1.5,0.1,"setosa",-2.18432817493394,-0.469013561402377,-0.253765567300008,0.0398992877334734
"11",5.4,3.7,1.5,0.2,"setosa",-2.16631010070132,1.04369065305386,-0.268681102216137,-0.0167313671849967
"12",4.8,3.4,1.6,0.2,"setosa",-2.3261308664427,0.133078335239231,0.0937592443811102,0.133483413395216
"13",4.8,3,1.4,0.1,"setosa",-2.21845089882241,-0.728676165316572,-0.230911237206604,-0.00242503814255028
"14",4.3,3,1.1,0.1,"setosa",-2.63310069576523,-0.961506729170164,0.180796084403178,0.0192155335566095
"15",5.8,4,1.2,0.2,"setosa",-2.19874060326669,1.86005711329393,-0.472900997873079,-0.194731769456412
"16",5.7,4.4,1.5,0.4,"setosa",-2.26221453160102,2.68628448511059,0.0305266092655083,-0.0505337373481699
"17",5.4,3.9,1.3,0.4,"setosa",-2.20758769582459,1.48360936315557,-0.00534409407826635,-0.188817432073501
"18",5.1,3.5,1.4,0.3,"setosa",-2.1903495091923,0.488838316486326,-0.0442153164784557,-0.0930904383665677
"19",5.7,3.8,1.7,0.3,"setosa",-1.89857199580284,1.40501879446655,-0.374343274557657,-0.0610959670924443
"20",5.1,3.8,1.5,0.3,"setosa",-2.34336905307499,1.12784938190848,0.1326304667813,0.0377564196882825
"21",5.4,3.4,1.7,0.2,"setosa",-1.91432299608257,0.408855707755905,-0.421292594087358,-0.010921286349095
"22",5.1,3.7,1.5,0.4,"setosa",-2.2070128431948,0.924121426746898,0.159865277226251,-0.0595973298532298
"23",4.6,3.6,1,0.2,"setosa",-2.77434470292733,0.458343667752915,0.332179097556864,-0.0196484300894796
"24",5.1,3.3,1.7,0.5,"setosa",-1.81866952869585,0.085558526287365,0.0344885957999793,-0.151140998558841
"25",4.8,3.4,1.9,0.2,"setosa",-2.22716330570664,0.137254455363426,0.117993535769645,0.270140352285968
"26",5,3,1.6,0.2,"setosa",-1.95184633090038,-0.625618587776678,-0.305640982325209,-0.0435616509624374
"27",5,3.4,1.6,0.4,"setosa",-2.05115137272941,0.242163552661666,0.0863640108251805,-0.0676800598629298
"28",5.2,3.5,1.5,0.2,"setosa",-2.16857717465422,0.527149525308266,-0.206816247770306,-0.0102753930098759
"29",5.2,3.4,1.4,0.2,"setosa",-2.13956345130133,0.313217810139951,-0.271150240276566,-0.0842592210038822
"30",4.7,3.2,1.6,0.2,"setosa",-2.26526149315424,-0.337731903760482,0.068435776227277,0.108279885452354
"31",4.8,3.1,1.6,0.2,"setosa",-2.14012213564798,-0.50454069014152,-0.0750084417491342,0.0481888683039496
"32",5.4,3.4,1.5,0.4,"setosa",-1.83159477067603,0.423695067603785,-0.270467376702984,-0.239870381298444
"33",5.2,4.1,1.5,0.1,"setosa",-2.61494793585894,1.79357585610443,0.047228418668484,0.229235931683747
"34",5.5,4.2,1.4,0.2,"setosa",-2.44617739169651,2.15072787739292,-0.08266804506157,0.0482143928855474
"35",4.9,3.1,1.5,0.2,"setosa",-2.10997487531865,-0.460201841437039,-0.170274861478309,-0.029022946777617
"36",5,3.2,1.2,0.2,"setosa",-2.20780889907827,-0.206107397688438,-0.225441580089759,-0.16890787275593
"37",5.5,3.5,1.3,0.2,"setosa",-2.0451462067542,0.661558111463107,-0.484537409828319,-0.196358525290991
"38",4.9,3.6,1.4,0.1,"setosa",-2.52733191317049,0.592292774190809,0.0194358124542214,0.136504549922
"39",4.4,3,1.3,0.2,"setosa",-2.42963257508455,-0.904180040376149,0.193254661884235,0.00973842285470479
"40",5.1,3.4,1.5,0.2,"setosa",-2.16971071163066,0.26887896143547,-0.175883820547391,-0.00704740592231549
"41",5,3.5,1.3,0.3,"setosa",-2.28647514334567,0.441715387699049,0.0348949089916957,-0.106983249212169
"42",4.5,2.3,1.3,0.3,"setosa",-1.85812245637357,-2.33741515755335,-0.204234222530966,-0.289863918987322
"43",4.4,3.2,1.3,0.2,"setosa",-2.55363839561435,-0.479100690122315,0.305766452637732,0.066601452915549
"44",5,3.5,1.6,0.6,"setosa",-1.96444768376374,0.47232666771926,0.309601317845326,-0.177093013854688
"45",5.1,3.8,1.9,0.4,"setosa",-2.13705900581162,1.14222926203941,0.248433561121045,0.151043437031528
"46",4.8,3,1.4,0.3,"setosa",-2.06974429959183,-0.711052725385895,-0.0639298255632071,-0.140269507164731
"47",5.1,3.8,1.6,0.2,"setosa",-2.38473316577826,1.12042970198454,0.0572178580891134,0.152230967162957
"48",4.6,3.2,1.4,0.2,"setosa",-2.39437631421963,-0.386246872589158,0.139467904567918,0.0488347616431684
"49",5.3,3.7,1.5,0.2,"setosa",-2.22944654794267,0.99795976430798,-0.181492779616473,0.0149281349329859
"50",5,3.3,1.4,0.2,"setosa",-2.20383343551913,0.00921635752127498,-0.153029490453988,-0.0493717317983394
"51",7,3.2,4.7,1.4,"versicolor",1.10178118305295,0.862972418262159,-0.684586162689738,-0.0348337755232194
"52",6.4,3.2,4.5,1.5,"versicolor",0.731337425396087,0.594614725669424,-0.0941217155290838,-0.00490362325358353
"53",6.9,3.1,4.9,1.5,"versicolor",1.24097931951583,0.616297654437498,-0.554006835386102,-0.00942339701958129
"54",5.5,2.3,4,1.3,"versicolor",0.407483058817386,-1.75440398932341,-0.0231017678138029,-0.0657688352612802
"55",6.5,2.8,4.6,1.5,"versicolor",1.07547470060908,-0.208421046050966,-0.398255522506228,-0.10473687252967
"56",5.7,2.8,4.5,1.3,"versicolor",0.388687336535665,-0.593283635990076,0.124191549518169,0.240831300472786
"57",6.3,3.3,4.7,1.6,"versicolor",0.746529741329161,0.773019312098596,0.148969402528049,0.0773697853108989
"58",4.9,2.4,3.3,1,"versicolor",-0.487322742125639,-1.85242908685758,0.249265265789248,0.0405202052652188
"59",6.6,2.9,4.6,1.3,"versicolor",0.927901638354946,0.0322260778911532,-0.59616936137254,0.02987960940495
"60",5.2,2.7,3.9,1.4,"versicolor",0.0114261887369804,-1.03401827512944,0.538899390184366,0.0284611837396811
"61",5,2,3.5,1,"versicolor",-0.110196280000628,-2.65407281853657,-0.0467904440583842,-0.0137607310472837
"62",5.9,3,4.2,1.5,"versicolor",0.440693448983078,-0.0632951884380019,0.205073815327201,-0.0401260816152677
"63",6,2.2,4,1,"versicolor",0.56210830644318,-1.76472438061695,-0.765771393653962,-0.0457311573483432
"64",6.1,2.9,4.7,1.4,"versicolor",0.719561888675497,-0.186224605831506,-0.0686589454230137,0.164807198447356
"65",5.6,2.9,3.6,1.3,"versicolor",-0.0333547031787721,-0.439003209981626,0.194932893328977,-0.109048499051066
"66",6.7,3.1,4.4,1.4,"versicolor",0.875407190857738,0.509063956773408,-0.503511381656032,-0.104943723090446
"67",5.6,3,4.5,1.5,"versicolor",0.350251667995083,-0.196311734551444,0.490873074514726,0.191509363629432
"68",5.8,2.7,4.1,1,"versicolor",0.158810047547972,-0.792095742432722,-0.302037174441383,0.205297735003316
"69",6.2,2.2,4.5,1.5,"versicolor",1.22509363356243,-1.6222438030915,-0.482304024097239,-0.225899769321839
"70",5.6,2.5,3.9,1.1,"versicolor",0.164917899386328,-1.30260923029577,-0.172837808432878,0.0517268487401782
"71",5.9,3.2,4.8,1.8,"versicolor",0.737682648771258,0.396571561960239,0.616526306322862,0.0832841226938097
"72",6.1,2.8,4,1.3,"versicolor",0.476287190940972,-0.417320281213552,-0.264952226528041,-0.113568272817064
"73",6.3,2.5,4.9,1.5,"versicolor",1.23417809765715,-0.93332572879928,-0.368412272048611,0.00994452550578085
"74",6.1,2.8,4.7,1.2,"versicolor",0.632858199709822,-0.4163877208891,-0.291896252443159,0.274220152439115
"75",6.4,2.9,4.3,1.3,"versicolor",0.702661183136183,-0.0634118197248008,-0.446027007561749,-0.0434583252498375
"76",6.6,3,4.4,1.4,"versicolor",0.874273653881291,0.250793392900611,-0.472578954433116,-0.101715736002886
"77",6.8,2.8,4.8,1.4,"versicolor",1.25650911654188,-0.0772560196958696,-0.727155001867893,-0.0396885184453589
"78",6.7,3,5,1.7,"versicolor",1.35840512144063,0.331311681790898,-0.260826576790615,-0.0668280638726352
"79",6,2.9,4.5,1.5,"versicolor",0.664800367225395,-0.225927854694844,0.0858638887393247,0.03643984012708
"80",5.7,2.6,3.5,1,"versicolor",-0.0402586109005949,-1.05871854655391,-0.319573329995538,-0.0647881556906281
"81",5.5,2.4,3.8,1.1,"versicolor",0.130795175497861,-1.56227183420997,-0.149983478339475,0.00940252286415426
"82",5.5,2.4,3.7,1,"versicolor",0.0234526889705517,-1.57247559421671,-0.241552281290685,0.0327724444116608
"83",5.8,2.7,3.9,1.2,"versicolor",0.241538272954511,-0.777256382584843,-0.151211957057009,-0.0236513599460327
"84",6,2.7,5.1,1.6,"versicolor",1.06109460884261,-0.633843244734947,0.105311386584596,0.18396845333665
"85",5.4,3,4.5,1.5,"versicolor",0.22397877351238,-0.287773512043203,0.665249719714052,0.254828367865397
"86",6,3.4,4.5,1.6,"versicolor",0.42913911551616,0.845582240905079,0.450634071444764,0.1096751807681
"87",6.7,3.1,4.7,1.5,"versicolor",1.04872805120909,0.522051796862942,-0.395786384445799,-0.0372090187107847
"88",6.3,2.3,4.4,1.3,"versicolor",1.04453138439628,-1.38298871919078,-0.688295960093062,-0.136835600350803
"89",5.6,3,4.1,1.3,"versicolor",0.0695883211164229,-0.219503334647716,0.291579274353283,0.147144580797276
"90",5.5,2.5,4,1.3,"versicolor",0.283477238287576,-1.32932463906958,0.0894100229396936,-0.008905805200436
"91",5.5,2.6,4.4,1.2,"versicolor",0.279077776055461,-1.1200285237424,0.0944876010127895,0.270657196195413
"92",6.1,3,4.6,1.4,"versicolor",0.624569791498572,0.0249230292540122,-0.020481147175777,0.147686400514194
"93",5.8,2.6,4,1.2,"versicolor",0.336530370131436,-0.988404017670361,-0.199389755304246,-0.00653056201287067
"94",5,2.3,3.3,1,"versicolor",-0.362183384619382,-2.01923787323861,0.105821047812837,-0.0195708118831856
"95",5.6,2.7,4.2,1.3,"versicolor",0.288586238823158,-0.855730319987067,0.13088968535255,0.107402348669594
"96",5.7,3,4.2,1.2,"versicolor",0.0913606556545054,-0.181192125825776,0.128978343061433,0.229959626153968
"97",5.7,2.9,4.2,1.3,"versicolor",0.2277168655347,-0.384920080987354,0.156213153506383,0.132605876612456
"98",6.2,2.9,4.3,1.3,"versicolor",0.576388288653479,-0.154873597216559,-0.271650362362422,0.0198606789861275
"99",5.1,2.5,3,1.1,"versicolor",-0.447667019028611,-1.54379203439776,0.190400930399835,-0.199946457342166
"100",5.7,2.8,4.1,1.3,"versicolor",0.256730588887585,-0.59885179615567,0.091879161000123,0.0586220486184492
"101",6.3,3.3,6,2.5,"virginica",1.84456886772303,0.870421312324824,1.00540101760699,0.0492497432376788
"102",5.8,2.7,5.1,1.9,"virginica",1.15788161320578,-0.698869862330691,0.530160149249018,0.0405207540393437
"103",7.1,3,5.9,2.1,"virginica",2.20526679107538,0.562010477008355,-0.20291416973687,-0.0591841937166694
"104",6.3,2.9,5.6,1.8,"virginica",1.44015066382754,-0.0469875881058067,0.163630106830057,0.235770072839286
"105",6.5,3,5.8,2.2,"virginica",1.86781222033054,0.29504482445702,0.395628374553296,0.0162982715165502
"106",7.6,3,6.6,2.1,"virginica",2.75187333566628,0.800409201027542,-0.582309102828606,0.101384486438507
"107",4.9,2.5,4.5,1.7,"virginica",0.367017687860725,-1.56150289147651,0.986893267472024,0.133123834281018
"108",7.3,2.9,6.3,1.8,"virginica",2.3024394446252,0.420065579642776,-0.651706439259994,0.238041242404551
"109",6.7,2.5,5.8,1.8,"virginica",2.00668646767661,-0.711438653547159,-0.393990570816565,0.0865106301728363
"110",7.2,3.6,6.1,2.5,"virginica",2.2597773490125,1.92101037645989,0.397551897469772,-0.104838917769313
"111",6.5,3.2,5.1,2,"virginica",1.36417549218601,0.692756454490387,0.284612073756815,-0.107860420145513
"112",6.4,2.7,5.3,1.9,"virginica",1.60267867047793,-0.421700449772618,0.0231864079100612,-0.0583316327413827
"113",6.8,3,5.5,2.1,"virginica",1.88390070170324,0.419249650605123,0.0263384095440732,-0.146414939217059
"114",5.7,2.5,5,2,"virginica",1.26011509919751,-1.16226042140646,0.580249289787371,-0.0991573213781925
"115",5.8,2.8,5.1,2.4,"virginica",1.46764520101732,-0.442271587377083,1.00386957373426,-0.275658903485686
"116",6.4,3.2,5.3,2.3,"virginica",1.59007731761457,0.67624480572332,0.638428708080596,-0.191862995633634
"117",6.5,3,5.5,1.8,"virginica",1.47143146113332,0.25562182447147,0.0374312598779676,0.15533027067016
"118",7.7,3.8,6.7,2.2,"virginica",2.4263289873157,2.55666125079549,-0.127881459463074,0.273807183016395
"119",7.7,2.6,6.9,2.3,"virginica",3.31069558393389,0.0177809493206267,-0.703305303903331,-0.0451886059325923
"120",6,2.2,5,1.5,"virginica",1.26376667363983,-1.70674538037627,-0.267536893250355,0.0651807997320458
"121",6.9,3.2,5.7,2.3,"virginica",2.0377163014694,0.910467409618311,0.234799483600326,-0.167951254369209
"122",5.6,2.8,4.9,2,"virginica",0.977980734249421,-0.571764324812992,0.828127201387768,-0.0277555871325275
"123",7.7,2.8,6.7,2,"virginica",2.89765149073417,0.413641059595648,-0.857421824873953,0.127336501734354
"124",6.3,2.7,4.9,1.8,"virginica",1.33323217597321,-0.48181121864943,-0.00542836383001939,-0.139959147966646
"125",6.7,3.3,5.7,2.1,"virginica",1.70073389749122,1.01392186732279,0.298450612533004,0.061643733919358
"126",7.2,3.2,6,1.8,"virginica",1.95432670585307,1.00777759615345,-0.419984721918621,0.218338350723047
"127",6.2,2.8,4.8,1.8,"virginica",1.17510363155493,-0.316394472309791,0.12993775701688,-0.125420443781826
"128",6.1,3,4.9,1.8,"virginica",1.02095055069579,0.0643460292395616,0.337715967499552,0.00865440136058514
"129",6.4,2.8,5.6,2.1,"virginica",1.78834992017967,-0.187361214590829,0.270658006318741,-0.0310876478423894
"130",7.2,3,5.8,1.6,"virginica",1.86364755332826,0.562290725886144,-0.715634118574538,0.208215163757215
"131",7.4,2.8,6.1,1.9,"virginica",2.4359537279227,0.25928443314428,-0.727816145673731,0.0179233648178876
"132",7.9,3.8,6.4,2,"virginica",2.30492772183176,2.62632346823238,-0.493473807694332,0.211675708911858
"133",6.4,2.8,5.6,2.2,"virginica",1.86270321979496,-0.178549494625491,0.354148712140439,-0.10000988235348
"134",6.3,2.8,5.1,1.5,"virginica",1.11414774068648,-0.292922623335732,-0.183488391659344,0.186343696524215
"135",6.1,2.6,5.6,1.4,"virginica",1.20247330167839,-0.811315270839669,-0.164723757387654,0.489483470028346
"136",7.7,3,6.1,2.3,"virginica",2.79877044757811,0.856803329497105,-0.54290649943243,-0.295881049519577
"137",6.3,3.4,5.6,2.4,"virginica",1.57625591019475,1.06858110732081,0.945853818643989,-0.0356057590751451
"138",6.4,3.1,5.5,1.8,"virginica",1.34629210362706,0.422430610852508,0.180875477854379,0.215421287818564
"139",6,3,4.8,1.8,"virginica",0.924824916542419,0.017223100452284,0.416826192969703,-0.00523840948501683
"140",6.9,3.1,5.4,2.1,"virginica",1.85204505176767,0.676128174436521,-0.0126721148083536,-0.195195239268203
"141",6.7,3.1,5.6,2.4,"virginica",2.01481042995488,0.613885636923575,0.428332842115091,-0.247538312638341
"142",6.9,3.1,5.1,2.3,"virginica",1.90178409026219,0.689575494243002,0.130075005446509,-0.469696647181136
"143",5.8,2.7,5.1,1.9,"virginica",1.15788161320578,-0.698869862330691,0.530160149249018,0.0405207540393437
"144",6.8,3.2,5.9,2.3,"virginica",2.04055822805209,0.867520600955229,0.338144000459013,-0.0451871263240584
"145",6.7,3.3,5.7,2.5,"virginica",1.99814709595238,1.04916874718415,0.632413435819797,-0.214045204125003
"146",6.7,3,5.2,2.3,"virginica",1.87050329295641,0.386966081665725,0.256273852398598,-0.389256845012009
"147",6.3,2.5,5,1.9,"virginica",1.56458048303033,-0.896686808896527,-0.0263713516323061,-0.220192099574997
"148",6.5,3,5.2,2,"virginica",1.52117049962784,0.269069144277951,0.18017838013283,-0.119171137242773
"149",6.2,3.4,5.4,2.3,"virginica",1.37278778951407,1.01125441852679,0.93339524116293,-0.0261286483732404
"150",5.9,3,5.1,1.8,"virginica",0.960656030037127,-0.0243316681693995,0.528248806957901,0.163078031523718
